INFO 2021-07-14 20:53:05,089 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2021-07-14 20:53:07,922 "GET /staff/create/ HTTP/1.1" 200 12600
INFO 2021-07-14 20:53:13,277 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2021-07-14 20:53:18,544 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2021-07-14 20:53:21,233 "GET /result/edit-results/ HTTP/1.1" 200 10104
INFO 2021-07-14 20:53:21,302 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,315 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,325 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,325 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,325 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,326 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,326 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,328 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,336 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,341 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,344 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,347 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,348 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:23,344 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2021-07-14 20:53:26,388 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-14 20:53:32,699 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2021-07-14 20:53:49,099 "GET /site-config HTTP/1.1" 200 10875
INFO 2021-07-14 20:54:26,155 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-14 20:54:26,191 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,203 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,204 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,205 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,205 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,224 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,224 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,224 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,224 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,225 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,225 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,229 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:26,231 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:54:35,677 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2021-07-14 20:54:43,488 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2021-07-14 20:54:56,134 "GET /staff/create/ HTTP/1.1" 200 12600
INFO 2021-07-14 20:55:10,855 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2021-07-14 20:55:21,522 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2021-07-14 20:55:21,555 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,556 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,558 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,572 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,578 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,580 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
